"031M", "031M", 48.0, 47.0, -78.0, -80.0, null
"031N", "031N", 48.0, 47.0, -76.0, -78.0, null
"031O", "031O", 48.0, 47.0, -74.0, -76.0, null
"031P", "031P", 48.0, 47.0, -72.0, -74.0, null
"032A", "032A", 49.0, 48.0, -72.0, -74.0, null
"032B", "032B", 49.0, 48.0, -74.0, -76.0, null
"032C", "032C", 49.0, 48.0, -76.0, -78.0, null
"032D", "032D", 49.0, 48.0, -78.0, -80.0, null
"032E", "032E", 50.0, 49.0, -78.0, -80.0, null
"032F", "032F", 50.0, 49.0, -76.0, -78.0, null
"032G", "032G", 50.0, 49.0, -74.0, -76.0, null
"032H", "032H", 50.0, 49.0, -72.0, -74.0, null
"032I", "032I", 51.0, 50.0, -72.0, -74.0, null
"032J", "032J", 51.0, 50.0, -74.0, -76.0, null
"032K", "032K", 51.0, 50.0, -76.0, -78.0, null
"032L", "032L", 51.0, 50.0, -78.0, -80.0, null
"032M", "032M", 52.0, 51.0, -78.0, -80.0, null
"032N", "032N", 52.0, 51.0, -76.0, -78.0, null
"032O", "032O", 52.0, 51.0, -74.0, -76.0, null
"032P", "032P", 52.0, 51.0, -72.0, -74.0, null
"033A", "033A", 53.0, 52.0, -72.0, -74.0, null
"033B", "033B", 53.0, 52.0, -74.0, -76.0, null
"033C", "033C", 53.0, 52.0, -76.0, -78.0, null
"033D", "033D", 53.0, 52.0, -78.0, -80.0, null
"033E", "033E", 54.0, 53.0, -78.0, -80.0, null
"033F", "033F", 54.0, 53.0, -76.0, -78.0, null
"033G", "033G", 54.0, 53.0, -74.0, -76.0, null
"033H", "033H", 54.0, 53.0, -72.0, -74.0, null
"033I", "033I", 55.0, 54.0, -72.0, -74.0, null
"033J", "033J", 55.0, 54.0, -74.0, -76.0, null
"033K", "033K", 55.0, 54.0, -76.0, -78.0, null
"033L", "033L", 55.0, 54.0, -78.0, -80.0, null
"033M", "033M", 56.0, 55.0, -78.0, -80.0, null
"033N", "033N", 56.0, 55.0, -76.0, -78.0, null
"033O", "033O", 56.0, 55.0, -74.0, -76.0, null
"033P", "033P", 56.0, 55.0, -72.0, -74.0, null
"034A", "034A", 57.0, 56.0, -72.0, -74.0, null
"034B", "034B", 57.0, 56.0, -74.0, -76.0, null
"034C", "034C", 57.0, 56.0, -76.0, -78.0, null
"034D", "034D", 57.0, 56.0, -78.0, -80.0, null
"034E", "034E", 58.0, 57.0, -78.0, -80.0, null
"034F", "034F", 58.0, 57.0, -76.0, -78.0, null
"034G", "034G", 58.0, 57.0, -74.0, -76.0, null
"034H", "034H", 58.0, 57.0, -72.0, -74.0, null
"034I", "034I", 59.0, 58.0, -72.0, -74.0, null
"034J", "034J", 59.0, 58.0, -74.0, -76.0, null
"034K", "034K", 59.0, 58.0, -76.0, -78.0, null
"034L", "034L", 59.0, 58.0, -78.0, -80.0, null
"034M", "034M", 60.0, 59.0, -78.0, -80.0, null
"034N", "034N", 60.0, 59.0, -76.0, -78.0, null
"034O", "034O", 60.0, 59.0, -74.0, -76.0, null
"034P", "034P", 60.0, 59.0, -72.0, -74.0, null
"035A", "035A", 61.0, 60.0, -72.0, -74.0, null
"035B", "035B", 61.0, 60.0, -74.0, -76.0, null
"035C", "035C", 61.0, 60.0, -76.0, -78.0, null
"035D", "035D", 61.0, 60.0, -78.0, -80.0, null
"035E", "035E", 62.0, 61.0, -78.0, -80.0, null
"035F", "035F", 62.0, 61.0, -76.0, -78.0, null
"035G", "035G", 62.0, 61.0, -74.0, -76.0, null
"035H", "035H", 62.0, 61.0, -72.0, -74.0, null
"035I", "035I", 63.0, 62.0, -72.0, -74.0, null
"035J", "035J", 63.0, 62.0, -74.0, -76.0, null
"035K", "035K", 63.0, 62.0, -76.0, -78.0, null
"035L", "035L", 63.0, 62.0, -78.0, -80.0, null
"035M", "035M", 64.0, 63.0, -78.0, -80.0, null
"035N", "035N", 64.0, 63.0, -76.0, -78.0, null
"035O", "035O", 64.0, 63.0, -74.0, -76.0, null
"035P", "035P", 64.0, 63.0, -72.0, -74.0, null
"036A", "036A", 65.0, 64.0, -72.0, -74.0, null
"036B", "036B", 65.0, 64.0, -74.0, -76.0, null
"036C", "036C", 65.0, 64.0, -76.0, -78.0, null
"036D", "036D", 65.0, 64.0, -78.0, -80.0, null
"036E", "036E", 66.0, 65.0, -78.0, -80.0, null
"036F", "036F", 66.0, 65.0, -76.0, -78.0, null
"036G", "036G", 66.0, 65.0, -74.0, -76.0, null
"036H", "036H", 66.0, 65.0, -72.0, -74.0, null
"036I", "036I", 67.0, 66.0, -72.0, -74.0, null
"036J", "036J", 67.0, 66.0, -74.0, -76.0, null
"036K", "036K", 67.0, 66.0, -76.0, -78.0, null
"036L", "036L", 67.0, 66.0, -78.0, -80.0, null
"036M", "036M", 68.0, 67.0, -78.0, -80.0, null
"036N", "036N", 68.0, 67.0, -76.0, -78.0, null
"036O", "036O", 68.0, 67.0, -74.0, -76.0, null
"036P", "036P", 68.0, 67.0, -72.0, -74.0, null
"037A", "037A", 69.0, 68.0, -72.0, -76.0, null
"037B", "037B", 69.0, 68.0, -76.0, -80.0, null
"037C", "037C", 70.0, 69.0, -76.0, -80.0, null
"037D", "037D", 70.0, 69.0, -72.0, -76.0, null
"037E", "037E", 71.0, 70.0, -72.0, -76.0, null
"037F", "037F", 71.0, 70.0, -76.0, -80.0, null
"037G", "037G", 72.0, 71.0, -76.0, -80.0, null
"037H", "037H", 72.0, 71.0, -72.0, -76.0, null
"038A", "038A", 73.0, 72.0, -72.0, -76.0, null
"038B", "038B", 73.0, 72.0, -76.0, -80.0, null
"038C", "038C", 74.0, 73.0, -76.0, -80.0, null
"038D", "038D", 74.0, 73.0, -72.0, -76.0, null
"038E", "038E", 75.0, 74.0, -72.0, -76.0, null
"038F", "038F", 75.0, 74.0, -76.0, -80.0, null
"038G", "038G", 76.0, 75.0, -76.0, -80.0, null
"038H", "038H", 76.0, 75.0, -72.0, -76.0, null
"039A", "039A", 77.0, 76.0, -72.0, -76.0, null
"039B", "039B", 77.0, 76.0, -76.0, -80.0, null
"039C", "039C", 78.0, 77.0, -76.0, -80.0, null
"039D", "039D", 78.0, 77.0, -72.0, -76.0, null
"039E", "039E", 79.0, 78.0, -72.0, -76.0, null
"039F", "039F", 79.0, 78.0, -76.0, -80.0, null
"039G", "039G", 80.0, 79.0, -76.0, -80.0, null
"039H", "039H", 80.0, 79.0, -72.0, -76.0, null
"040G", "040G", 42.0, 41.0, -82.0, -84.0, null
"040H", "040H", 42.0, 41.0, -80.0, -82.0, null
"040I", "040I", 43.0, 42.0, -80.0, -82.0, null
"040J", "040J", 43.0, 42.0, -82.0, -84.0, null
"040O", "040O", 44.0, 43.0, -82.0, -84.0, null
"040P", "040P", 44.0, 43.0, -80.0, -82.0, null
"041A", "041A", 45.0, 44.0, -80.0, -82.0, null
"041B", "041B", 45.0, 44.0, -82.0, -84.0, null
"041G", "041G", 46.0, 45.0, -82.0, -84.0, null
"041H", "041H", 46.0, 45.0, -80.0, -82.0, null
"041I", "041I", 47.0, 46.0, -80.0, -82.0, null
"041J", "041J", 47.0, 46.0, -82.0, -84.0, null
